series,episode,title,theme,technical_set_by,n_bakers_start,n_eliminated,n_star_baker,no_elimination_flag,double_elimination_flag
5,5,Episode 5: Pies and Tarts,Pies and Tarts,,8,1,1,0,0
5,6,Episode 6: European Cakes,European Cakes,,6,0,1,1,0
5,7,Episode 7: Pastry,Pastry,,6,1,1,0,0
5,8,Episode 8: Advanced Dough (Quarterfinals),Advanced Dough,,5,1,1,0,0
5,9,Episode 9: Pâtisserie (Semi-final),Pâtisserie,,4,1,1,0,0
5,10,Episode 10: Final,Final,,3,0,0,0,0
6,1,Episode 1: Cakes,Cakes,,12,1,1,0,0
6,2,Episode 2: Biscuits,Biscuits,,11,1,1,0,0
6,3,Episode 3: Bread,Bread,,10,1,1,0,0
6,4,Episode 4: Desserts,Desserts,,9,1,1,0,0
6,5,Episode 5: Alternative Ingredients,Alternative Ingredients,,8,1,1,0,0
6,6,Episode 6: Pastry,Pastry,,7,1,1,0,0
6,7,Episode 7: Victorian,Victorian,,6,1,1,0,0
6,8,Episode 8: Pâtisserie (Quarterfinals),Pâtisserie,,5,1,1,0,0
6,9,Episode 9: Chocolate (Semifinals),Chocolate,,4,1,1,0,0
6,10,Episode 10: Final,Final,,3,0,0,0,0
7,1,Episode 1: Cake,Cake,,12,1,1,0,0
7,2,Episode 2: Biscuits,Biscuits,,11,1,1,0,0
7,3,Episode 3: Bread,Bread,,10,1,1,0,0
7,4,Episode 4: Batter,Batter,,9,1,1,0,0
7,5,Episode 5: Pastry,Pastry,,8,1,1,0,0
7,6,Episode 6: Botanical,Botanical,,7,1,1,0,0
7,7,Episode 7: Desserts,Desserts,,6,1,1,0,0
7,8,Episode 8: Tudor (Quarterfinals),Tudor,,5,1,1,0,0
7,9,Episode 9: Pâtisserie (Semi-final),Pâtisserie,,4,1,1,0,0
7,10,Episode 10: Royal Picnic (Final),Royal Picnic,,3,0,0,0,0
8,1,Episode 1: Cakes,Cakes,,12,1,1,0,0
8,2,Episode 2: Biscuits,Biscuits,,11,1,1,0,0
8,3,Episode 3: Bread,Bread,,10,1,1,0,0
8,4,Episode 4: Caramel,Caramel,Prue Leith,9,1,1,0,0
